Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
C# : ASP.NET MVC ~Practise Test for Interviews,ASPDotNeT Multiple choice Question with descriptive Solutions,5.0,Suprio Dutta,,,,E£229.99,,
ASP .NET Core. API User Identity & more + Azure Cloud deploy,"Build web api with user authorization & authentication with C# ASP.NET Core, Entity Framework, Azure + Linux/macOS guide",4.0,Jakub Kozera,4.5,39,Intermediate,E£199.99,,
Unity Game Development: Make Professional 3D Games,Learn To Code In C# And How To Create Stunning 3D Games In Unity Game Engine,4.1,Awesome Tuts,s41,152,All Levels,E£229.99,,
C# Revit API Plugin Creation Forms and Visualizations,"Learn how to set on your addins user interaction and visibility, by managing workflows with decisions to be taken.",4.7,Enrique Galicia,s2,16,Beginner,E£519.99,,
Excel add-in with c# VSTO and web,Excel add-in with c# VSTO and web,3.9,Taurius Litvinavicius,1.5,7,Beginner,E£199.99,,
The Ultimate C# and Unity course for beginners,Learn C# and Unity Coding and Game Development,4.4,Kenneth Andersen,s30,124,Beginner,E£749.99,,
Learn Socket to Create Multiplayer Games with Unity,Learn to use C# Socket library to create a 3D multi-player game.,4.1,Çağrı Şahin,13.5,79,Intermediate,E£419.99,,
MTA 98-361 C# - 6 Real Simulation Practice Tests,6 Full-length MTA 98-361 Software Development Fundamentals Practice Tests with 300 Questions in Total (with feedback).,4.7,Mall Academy,,,,E£229.99,,
Programming C# 6: Advanced,Programming C# 6: Advanced,3.7,Stone River eLearning,s8,97,All Levels,E£229.99,,
Game Development 101: C# and Unity,Master game development with C# and Unity in just 45 minutes,4.7,David Dolynny,s1,11,All Levels,E£199.99,,
Learn to Program by Making Games in Unity,Game development made easy. Learn C# using Unity and create multiple games,4.9,James Doyle,11.5,98,All Levels,E£199.99,,
Unity app development: Make a monetized gaming application,Basic & advanced 3D Game Design with C# Coding. Monetise your games with Ads Suitable for Beginners - Intermediate,4.6,"Mohammed Khan, Mohammed Khan",4.5,23,All Levels,E£199.99,,
AWS Cost Management Tools (Cost Explorer) Crash Course,"Learn everything about AWS Cost Explorer, Cloud Financial Management and Reserved Instance/Savings Plan",4.5,Jimmy C,s2,28,All Levels,E£199.99,,
The Complete Guide to C# & Unity Programming - Build an RPG,Master Unity 2D Engine (2024) and C# Programing By Creating A Role Playing Game Using Modern Unity Development Technics,4.4,Michael Murr,s23,123,Beginner,E£199.99,,
Make a 2D Flappy Bird Game in Unity®: Code in C# & Make Art!,Build a Flappy Bird-inspired game to learn to code & make art in Photoshop. Ultimate guide for aspiring game developers.,4.8,"Mammoth Interactive, John Bura",11.5,85,Beginner,E£199.99,,
Mastering SharePoint 2013 Development Using C# - Part I,Learn How to build Applications for SharePoint in easy steps,4.5,Kameswara Sarma Uppuluri,8.5,119,All Levels,E£749.99,,
#1 Unity Hyper Casual Cricket Mobile Game using C#,Create your very First Cricket Game & Monetize it with Unity Ads !,4.3,Tabsil Makes Games,12.5,103,Beginner,E£749.99,,
Event-Driven Microservices: Develop and Test with C# .NET,"Master course to develop Event-Driven Microservices from ground up and test all layers like UI, API, Integration",4.3,Karthik KK,7.5,87,Intermediate,E£349.99,,Bestseller
C# 13 and .NET 8: Unveiling the New Era of Programming,C# 13 and .NET 8 New Feature of Programming,5.0,Sandeep Soni,6.5,12,All Levels,E£199.99,,New
Make an Assassins GO Board Game in Unity,Build a turn-based puzzle game with C# and Unity,4.9,Wilmer Lin,11.5,74,Intermediate,E£199.99,,
"Unity Game Developer Masterclass 2021 (2D, 3D and FPS)","Create your first Unity Games - FruitNinja clone, Hausmeister clone, Zombie shooter etc. using Csharp",4.6,"Denis Panjuta, Tutorials.eu by Denis Panjuta",s23,196,All Levels,E£219.99,,
How to Make a 2D Platformer with Unity & C#,"Game Development- Learn how to create a 2D platformer game full of unique enemies, weapons and environments using Unity.",4.4,Noa Calice (aka Blackthornprod),s2,22,Beginner,E£449.99,,
Digital Diversity/Cyber-Citizen/Cross-Cultural Communication,"Learn Global Leadership, Communications, Listening, and Conflict Management Skills for Teams",4.5,Elizabeth C. Pagé,s2,50,All Levels,E£199.99,,
Network sockets and streaming (C# based),"TCP, UDP, WebSockets and more in C#",3.6,Taurius Litvinavicius,s2,18,Expert,E£229.99,,
Master New Cross-Platform IDE for .NET: Rider by JetBrains,Learn about the main competitor of Visual Studio: JetBrains' Rider which enables Cross-Platform C# Programming,4.4,Engineer Spock,2.5,27,All Levels,E£199.99,,New
Game Physics - Introducing Gravitation & Rotation in Unity,Step-by-step tutorial on how to create a basic rigid body motion physics from scratch. Taught in C# using Unity 3D free.,4.4,Ben Tristem,5.5,45,Intermediate,free,,
Certified Professional in C# Programming - Practice Test,The Complete C# Programming Course Exam,4.1,MOHNAS LTD,,,,E£199.99,,
Unity Game Development Build 2D & 3D Games,Learn Unity game design & 2D & 3D game development & make your own C# games in Unity 3D,4.5,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",35.5,116,Beginner,E£229.99,,
Learn how to create a 2D Tower Defense Game in Unity 2021,Learn Unity and C# and create your first 2D Tower Defense Game,4.5,Gianny Dantas,s8,64,All Levels,E£199.99,,
Learn to make a 3D Platformer Game with Unity,Game development made easy. Learn C# using Unity and create your very own 3D Platformer!,4.2,James Doyle,s14,108,All Levels,E£199.99,,
Full Scratch 3.0 Programming Course: Beginner to Advanced,"Use Scratch 3.0 to learn universal programming concepts, create games, design apps, make models, and more!",4.4,Nate C,10.5,25,All Levels,E£619.99,,Bestseller
Physics For Unity 2022 - Lifetime Access,"Create Projects With Confidence | 2D, 3D, C# | Colliders, Collision Detection, Gravity, Joints, Ragdoll, & Rigidbody",4.4,Samuel Asher Rivello,3.5,42,Beginner,E£199.99,,
C# Cross-Platform Tricks: Run ASP.NET Applications On Linux,This course will teach you how to get your ASP.NET web applications up and running on a Linux system,3.9,Mark Farragher,4.5,34,All Levels,E£229.99,,
"Python, Java,C#, C++ & C Programming Practices For Beginners","Supercharge your software programming skill with best practices in Python, Java, C#, C++ & C. 5 Programming Courses in 1",4.0,"Emenwa Global, Zoolord Academy",s60,547,Beginner,E£199.99,,
Learn to build 40 2D and 3D games in Unity®!,Build your first simple games by learning fast game development. Learn to code in C# today with efficient projects!,4.3,"Mammoth Interactive, John Bura",s49,160,Beginner,E£619.99,,
Mastering ASP.NET MVC 5 From Scratch Using C#,Learn How to build Web Application using ASP.NET MVC 5 Step By Step,3.9,Kameswara Sarma Uppuluri,s13,109,All Levels,E£229.99,,
PMP Certification: PMP Exam Recap - Get your PMP! / 18 PDUs,PMP Exam Prep: Repeat everything you should know for the PMP Exam with this PMP CRAM session! Based on new ECO 2021...,4.7,"Sabri C. PMP | 120,000+ Enrollments Worldwide",18.5,242,All Levels,E£199.99,,new
C# Minimal API in .NET 6 with Visual Studio 2022,"Create C# newest feature ""Minimal API"", write C# API's as never before. Create project from 0 to end in newest .NET 6",4.0,Luka Devic,s2,49,All Levels,E£199.99,,new
Design Patterns With C# (Real World Samples),We will build some new strategies to make easy our code projects. You will also drop your old code writing culture.,3.8,Can Perk,s3,61,All Levels,E£199.99,,new
MTA 98-361 Software Development Fundamentals Complete Course,Everything you need to pass the Microsoft MTA 98-361 exam by doing with step-by-step C# examples,4.6,"Dr. Chris Mall • 35,000+ Students Worldwide",7.5,81,All Levels,E£199.99,,
Create Horror Survival Game In Unity & C# Part2(Craft/Quest),Create Horror Survival Game In Unity & C# Part 2(Craft/Quest),4.9,Paul Hadizad,8.5,29,All Levels,E£199.99,,
C# Fundamentals for Game Development,Complete Game Development Series 01 - Start Your Game Dev Jurney with C#,4.2,Jingtian Li,s11,51,Beginner,E£199.99,,
Unity Space Shooter Game Development tutorial using C#,Learn Unity Space Shooter Game Development using C#,4.7,Aqsa Nadeem,2.5,23,All Levels,E£199.99,,
Essentials of Developing Windows Store Apps Using C#,A complete guide to develop Windows Store Apps using C#,3.4,Compaq learning,s5,84,All Levels,E£229.99,,
Master .NET and C# Unit Testing with NUnit and Moq,"Become an expert in unit testing with NUnit, Moq, dotMemoryUnit, ReSharper and other tools!",4.2,Dmitri Nesteruk,s3,44,Beginner,E£199.99,,
Stripe with C# (Blazor),Stripe payments using C#,3.1,Taurius Litvinavicius,1.5,11,Expert,E£229.99,,
Learn Asp Net C# OOPs SQL and JavaScript for Development,"Complete developers course for web design, development, coding and database - by Microsoft Certified Professional",3.8,Metla Sudha Sekhar,21.5,161,All Levels,E£199.99,,
Make an Angry Birds Clone in Unity: Complete 2D Puzzle Game!,Build a casual game from start to finish! Make art from scratch in Adobe™ Illustrator™. Code in C# and build a game now!,4.7,"Mammoth Interactive, John Bura",11.5,85,Beginner,E£199.99,,
How to create REST API's - Create & Consume (2020),The complete guide to build REST API's with ASP.NET Core & C#. Building a SERVER. Calling API with CLIENT application,4.1,Ruslan Bokov,5.5,26,All Levels,E£199.99,,
Build 2 Huge 3D Games in Unity: Complete C# & Blender Models,Become an independent developer who understands all sides to game development! Create 3D models for the games in Blender,4.2,"Mammoth Interactive, John Bura",41.5,200,All Levels,E£199.99,,
Unity C# Editor Scripting Masterclass,Create Unity Store Assets or Automate Internal Development!,4.0,Neil North,3.5,34,Intermediate,E£199.99,,
C# Revit API Geometry Extraction and Analysis from Revit,Learn how to do element geometry extraction and its transformation to manage automated Modeling in Revit,3.5,Enrique Galicia,s2,21,Beginner,E£449.99,,
Unity 2D Game Development in C# 2021,Game Development In a Project Oriented way,4.8,Andrea Mengoli,s3,56,Beginner,E£199.99,,
Selenium with C# - A Complete End to End Course.,Learn CSharp Language and Selenium Webdriver,2.3,Pallavi Sharma,16.5,14,All Levels,E£419.99,,
Unity 2D and C# - A Practical Game-Dev Course,Create the complete 2D survival game in Unity with C#. Learn game development patterns. Become an Indie developer.,4.3,"Eincode by Filip Jerga, Filip Jerga",24.5,186,All Levels,E£199.99,,
Computer Vision Fundamentals with OpenCV and C#,Using OpenCVSharp Wrapper Library,3.6,F. Frank Ozz,s5,55,All Levels,E£449.99,,
Selenium WebDriver with C# for Beginners,Learn QA Automation Testing with C# and Selenium WebDriver. Become Developer in Test and Kick-start your Career in IT.,4.4,Victor Gorinov,s5,44,Beginner,E£199.99,,
The Complete Unity® Masterclass: Build 2D & 3D AI Games,"Build 3 complete games in Unity with C# and Blender! Learn artificial intelligence, pathfinding and mobile development.",4.6,"Mammoth Interactive, John Bura",s26,186,All Levels,E£619.99,,
Complete Microsoft Orleans .NET: From Zero to Hero,A Developer's Guide for disrupting old way of backend development with C# and Orleans.NET,2.9,Radim Motycka,s4,22,Intermediate,E£199.99,,
RabbitMQ: Learn all MessageQueue concepts and administration,Use RabbitMQ for asynchronous Messaging to decouple your systems for easy scalable systems with examples in Python & C#,4.1,Timo | C# Development | .NET | DevOps,4.5,69,All Levels,E£199.99,,
Selenium with C#.NET: Tutorial and Practical Interview Q&A,Selenium with C#.NET: Tutorial and Practical Interview Basic Questions & Answers,4.1,Tejsingh Palharya,s3,11,Beginner,E£199.99,,
The Ultimate Authentication Course with C# and VueJS,"Authenticate with Access & Refresh Tokens, 2FA, Social Authentication with Google etc.",4.3,"Antonio Papa, Atanu Dhar",2.5,34,All Levels,E£199.99,,
Automate application with Specflow and Selenium C#,Learn how Specflow and Selenium glues together for behavioral driven development (BDD) automation testing.,4.2,Karthik KK,6.5,38,Beginner,E£229.99,,
C#.NET LINQ Tutorial - LINQ Fundamentals,"Learn Language Integrated Query basics, improve your querying skills!",3.7,Emre Şavklı,2.5,20,All Levels,E£199.99,,
Unity Game Design & Development : 20+ 2D & 3D Projects,"Learn Game Design & Development with Unity Blender C# Inkscape . Create 2D & 3D Game Art Assets , Build Game Projects",4.6,Raja Biswas,s21,106,Beginner,E£229.99,,
Data Structures using C# and .NET Core 3.0,Master the most commonly used data structures in computer science,4.4,Alin Badea,6.5,61,All Levels,E£199.99,,
Word add-in using c# vsto and web types,Learn word add-in development in two different ways,3.5,Taurius Litvinavicius,s1,8,Beginner,E£199.99,,
Unity Basics: A Monetised Android/iOS Game in 4 Hours.,"Unity, Basic 3D Game Design with C# Coding. Monetise your games with Ad Support. Suitable for Beginners - Intermediate",4.5,David McDonald,s4,40,Beginner,E£229.99,,
"NHibernate with C#, ASP.NET MVC, Quick Start.",Implementation NHibernate in ASP.NET MVC and CRUD operations with NHibernate ORM as a part of Hibernate.,3.5,Damian Czublun,1.5,17,All Levels,E£199.99,,
Objected Oriented Programming With C# and Visual Studio 2017,Explore the processes and benefits of objected oriented programming,3.8,T O,8.5,53,Beginner,E£219.99,,
C# Unity® and Swift 4 Masterclass: Make Games and Apps,"Includes FREE eBook, source code, and art assets! Make a 3D Portals game in Unity® and Blender. Make apps for iOS 11.",4.2,"Mammoth Interactive, John Bura",s42,262,Beginner,FREE,,
Data Structures and Algorithms (C# code in GitHub),"Search, Sort, Binary Heaps, Binary Trees, Nary Trees (paired with C# implementations in an open source GitHub repo)",4.1,Parisa Jalili Marandi,6.5,46,All Levels,E£199.99,,
Unity By Example : 20+ Mini Projects in Unity,Learn Unity Game Development Build 20+ Mini Projects Using Unity & C# . Learn Unity with this Project Based course,4.1,"Raja Biswas, Charger Games",20.5,98,Beginner,E£229.99,,
Building a Super Smash Bros. Fighting Game in Unity,"Use Unity and C# to build a Super Smash Bros. style fighting game including combo moves, enemy AI, and engaging levels!",4.3,Robert Gioia,5.5,115,Beginner,E£199.99,,
Unity : Beginner to Advanced - Complete Course,Master Video Game development from the ground up using Unity and C#. Learn and understand how games are made.,4.3,"Dragan Neskovic, Jasmin Skamo",s7,51,Beginner,E£219.99,,
Create a Driving Game | Unity & C# iOS & Android Game Making,Build Car Racing Game with Unity Game Engine | Realistic Car Physics Login | Advanced AI for Cars | Choose any Car,4.5,WITS Gaming,5.5,46,All Levels,E£549.99,,
ASP.NET Core API. From scratch to Master + Azure deployment,Complete C# ASP.NET Core 3.1 and Entity Framework bootcamp. Linux/macOS guide. Deploy API and Database to MS Azure cloud,4.3,Jakub Kozera,s6,63,All Levels,E£219.99,,
Entity Framework: Getting Started - Complete Beginners Guide,Learn how to connect your .NET C# Applications to SQL Server Database Using Entity Framework,3.9,Artemakis Artemiou,s5,53,Beginner,E£199.99,,
C# 11 Unleashed: A Comprehensive Guide to New Features,Learn the latest stuff about your favorite programming language and framework,4.4,Christophe MOMMER | C# - .NET - Azure DevOps | MVP,1.5,22,Beginner,E£629.99,,New
Learn To Create A 2D Metroidvania Game in Unity With C#,Learn To Create A 2D Metroidvania Game in Unity With C#,4.1,Paul Hadizad,s18,82,Beginner,E£419.99,,
C# Design patterns,transform your professional career with extraordinary knowledge of Design Patterns,3.9,Maruti Makwana,s3,15,All Levels,E£199.99,,
Unity® Game Development Mastery Build 2D & 3D Games,Learn how virtual reality works. Get a walkthrough of the game development process. Learn how to use Unity in C#.,4.4,"Mammoth Interactive, John Bura",s70,396,All Levels,E£749.99,,
"16 beginner programming projects: Java, Python,JavaScript,c#",Learn to program in multiple programming languages with step by step projects,3.8,Bluelime Learning Solutions,s17,164,Beginner,E£199.99,,
Make a Starship Unity Game Powered by AI!,Build a 3D pathfinding game with C#. Mine a unique world using NavMesh artificial intelligence. Make cutting-edge games!,4.6,"Mammoth Interactive, John Bura",6.5,47,Beginner,E£229.99,,
Becoming a Programmer from Scratch,Create a Simple Application in C#,4.5,Chris B Behrens,w6,41,Beginner,E£199.99,,
Master Full stack .NET Architecture using C#,"Design, build and deploy a modern fullstack app using C# (Blazor, .NET, Azure, AWS, GCP, Docker, Kubernetes)",3.7,Freddy Ayala,s3,33,Intermediate,E£199.99,,
"Real rest Web API using C#, SQL, Dapper, Json.",Creating a real e-commerce Web API.,3.7,Ahmad ELdeek,3.5,47,All Levels,E£199.99,,
A to Z Unity® Development: Code in C# and Make Low Poly Art,Learn to use Blender to make 5 3D models of swords! Make a complete Ninja Survival game in Unity® with original art.,4.0,"Mammoth Interactive, John Bura",18.5,141,Beginner,E£199.99,,
Learn to Create Mobile Third Person Shooter with Unity & C#,Learn iOS & Android Game Development by Build TPS Game in Unity 3d Game Engine | PUBG Mobile Game Clone,4.3,WITS Gaming,7.5,60,All Levels,E£619.99,,
Unity3d Game Ranking System Panel using online Profiles C#,Develop from scratch Unity3D Android & iOS Game Ranking Panel using facebook profiles login to Firebase database (DB),4.6,"Brinis Hamza, Abderrahmen Brinis",1.5,7,All Levels,E£199.99,,
How To Create Login Form with Visual Studio and SQL Server,Create a login form step by step in Visual Studio and connect to SQL Server using C#,4.3,Bluelime Learning Solutions,s2,28,Beginner,E£199.99,,
"Deliver Powerful, Painless Feedback to Motivate vs Frustrate",Motivate for Success and Optimal Performance!,4.4,Elizabeth C. Pagé,s1,40,All Levels,E£229.99,,
Creating a Vertex Painter in Unity 3D,"Learn how to create a fully interactive painting tool in Unity 3D, from scratch, using C# and MonoDevelop.",4.8,Gametutor :-),s3,13,Intermediate,E£229.99,,
"Learn To Use APIs With Visual Studio, C#, ASP.Net","Become an API expert quickly and easily! Use YouTube, Giphy, and other Application Programming Interfaces Online.",4.1,Aaron Craig,s2,18,Intermediate,E£449.99,,
Temple Run Clone for iOS & Android | Top Unity and C# Course,"Make a cross-platform, endless runner game for iOS and Android using the Unity3D game engine in UNDER 5 hours",4.3,Khaled Alofi,4.5,20,Beginner,E£199.99,,
Learn Arduino Programming with Applications - All In One,Learn Arduino From Basic to Advance with Basic Electronic Components & Visual Studio (C# Programming) and Applications,4.7,Derstagram Akademi,8.5,113,All Levels,E£229.99,,
Learn to Create & Publish Games for Mobile,Mobile development made easy. Learn C# using Unity and create & publish your own mobile game,4.4,James Doyle,11.5,80,Beginner,E£199.99,,
C# Procedural Random Dungeon Generator in Unity 3D & Blender,Learn interior-only random dungeon generation using a geomorph method that connects modular rooms and hallways in C#,4.4,Billy McDaniel,6.5,31,Intermediate,E£199.99,,
Code in C# & Design a Full Unity® Game: 2D Netroid Shooter!,Make a complete game from scratch in Unity® 2017! Use Photoshop to make art assets from start to finish. Make games.,4.4,"Mammoth Interactive, John Bura",10.5,76,Beginner,E£199.99,,
Learn SOLID principles with C#,Learn Most Important BASICS before its too late,3.9,Maruti Makwana,s5,24,Intermediate,E£199.99,,
The Ultimate Authentication Course with C# and Svelte,"Authenticate with Access & Refresh Tokens, 2FA, Social Authentication with Google etc.",4.3,"Antonio Papa, Atanu Dhar",s2,35,All Levels,E£199.99,,
Selenium Webdriver in C#.Net,Learn with examples,3.7,Sagar S,s3,28,Intermediate,E£199.99,,
Complete Unity 2D and C# Game Developer Megacourse,Learn how to develop games using Unity and C# with this project-based course!,3.8,Creativity Unleashed,22.5,64,All Levels,E£199.99,,
Create a 2.5D survival Metroidvania Game in unity and C#,Ccreate a 2.5D survival Metroidvania Game in unity and C#,4.1,Paul Hadizad,s7,35,All Levels,E£199.99,,
AWS lambda for .NET C# developers,Create AWS lambda function using C# easy,3.6,Amr Swalha,s2,16,All Levels,E£199.99,,
Xamarin iOS Uber Clone App with C# and Firebase (2020),Learn advanced Xamarin iOS concepts by building a fully complete and functional Uber Clone app using Firebase with C#,4.4,Ufinix Academy,13.5,91,All Levels,E£199.99,,
Develop Selenium framework with C# and Specflow BDD,Master Automation Framework with Selenium Csharp and Specflow,3.6,Vaibhav Singhal,7.5,47,Expert,E£199.99,,
Learn Unity® 2018 and C#: Develop Professional Videogames,Learn Unity & C# programming a 3D platformer game from zero until the final boss fight and the monetization in Android,4.0,Luis Ruelas,14.5,98,All Levels,E£199.99,,
Game Development 2020 : Build an Archery Game with Unity,Learn Game Development and C# Programming in no time by building a fun Archery game and publishing it to the world,3.9,Team AFast,s7,20,All Levels,E£199.99,,
The Ultimate Guide to making a 2D strategy game in Unity,"Game development & Game art/animation. Create a 2D turn by turn strategy game using Unity 2019, C# and Ps/Gimp.",4.3,Noa Calice (aka Blackthornprod),s3,31,Intermediate,E£229.99,,
Build Restful Api's with Asp.Net Core,"Learn to build Secure Real World Vehicle Selling RESTful Api's with Asp.Net Core , Entity Framework Core and C#",4.4,Asfend Yar Hamid,3.5,68,All Levels,E£199.99,,
Create an epic 2D Mobile Game with Unity & C#,Gain a new experience in Unity Game Development by creating the Eternal Dungeon,4.2,Max Vynnyk,s3,38,Intermediate,E£549.99,,new
Build a 2D CastleMania Horror Unity Game with Sound Effects!,Make your first complete game with sound effects. Learn C# as you code an awesome retro platformer for the App Store,4.5,"Mammoth Interactive, John Bura",13.5,92,Beginner,E£199.99,,
Unity Programming Fundamentals,A beginner's guide to programming in C# with Unity.,4.3,Ben Marshalkowski,s4,57,Beginner,E£199.99,,
C# Masterclass: Make RPG & Mobile Games in Unity® & Blender,Make a Zenda Role Player Game and Ninja Mobile Game in Unity® 5.4.3f1. A beginner's course for aspiring game developers!,4.1,"Mammoth Interactive, John Bura",41.5,273,Beginner,E£749.99,,
Coding Interview Masterclass - C# and JavaScript,Master solving coding questions in C# and JavaScript! Complete Beginner to Expert Coding Interview Masterclass,3.1,Robert Gioia,s24,73,All Levels,E£199.99,,
Ultimate guid to create 3D survival game in unity & C#,Ultimate guid to create 3D survival game in unity & C#,3.9,Paul Hadizad,s12,46,Intermediate,E£619.99,,
Building a Pac-Man Arcade Style Game In Unity,"Use Unity and C# to Create a Classic Pac-Man Arcade Style Video Game Complete with AI, Power Ups, and Animations!",3.9,Robert Gioia,2.5,37,Beginner,E£199.99,,
Unity 2D Ultimate RPG Game Development with C#,Unity 2D Ultimate RPG Game Development with C#,4.1,Paul Hadizad,s13,57,Intermediate,E£199.99,,
Software Engineering : Master Software Engineering in C#,Build great Software and Understand Software engineering in C#,4.4,Luke's Programming School,2.5,35,All Levels,E£419.99,,
C#: ADO. net For Beginners,ADO .net with ASP .Net,4.1,Suprio Dutta,2.5,25,Beginner,E£199.99,,
Build a Music Player App with C# and Visual Studio,Improve your development skills with C# and Visual Studio,4.4,Bluelime Learning Solutions,s1,15,Beginner,E£199.99,,
"Build 2D, 3D, and VR Games in Unity and Unreal *Masterclass*","Get free: 2 complete books and 6 professional webinars! C# coding, C++, game design, game development, game mechanics.",3.9,"Mammoth Interactive, John Bura",85.5,338,Beginner,free,,
Xamarin Android in C# and Firebase,"Developing a complete Android Application using C#, Xamarin Studio and Firebase",3.5,Amir J,s6,63,Intermediate,E£199.99,,
Selenium in C# - Setup Simple Test Automation Framework,"Learn Selenium from scratch and build Test Automation framework with minimum set of tools: C#, NuGet, NUnit, Selenium",4.0,"Tigran Ter-Karapetyants, Learn IT University",s4,25,All Levels,E£229.99,,
Microsoft Programmer in C# Practice Tests (70-483) For 2020,Final Prep For The C# Exam | Test Your Knowledge | Pass The First Time |,3.2,Inspiring Generations Academy,,,,E£349.99,,
Data Integrations for Revit API Plugins C#,"Learn some some usefull tips to improve your Revit Addins, by managing data on functions.",4.8,Enrique Galicia,1.5,16,Intermediate,E£199.99,,
The Secret to Smoother Gameplay with Unity AI!,"Steer, flee, avoid! Anything is possible with Steering Behavior. Make a spaceship game with artificial intelligence & C#",4.4,"Mammoth Interactive, John Bura",s8,54,Beginner,E£199.99,,
