Course Name,Description,Rate,Instructor,Price,Total Hours,lectures,Level,Number Of Rated Users,Bestseller,Original Price,Price Value,Price Currency
Learn Parallel Programming with C# and .NET,Discover the core multithreading and parallelization concepts supported by the .NET framework.,4.5,"Instructor:
Dmitri Nesteruk",E£199.99,5.5,54,Intermediate,,Bestseller,E£999.99,199.99,E£
Object Oriented Programming with C# - Beginner to Advanced,"Detailed step-by-step guide to Classes, Interfaces and many other OOP Concepts - Object-Oriented Programming Concepts",4.6,"Instructor:
Tod Vachev",E£219.99,5.5,73,Intermediate,,,E£849.99,219.99,E£
Design Patterns in C# Made Simple,Using patterns to improve flexibility of the design,4.6,"Instructor:
Zoran Horvat",E£229.99,5,54,Intermediate,,,E£319.99,229.99,E£
Selenium WebDriver Masterclass with C#,Build Your Own Automation Framework And Learn Everything About Selenium WebDriver. Zero Previous Knowledge Required.,4.4,"Instructor:
Nikolay Advolodkin",E£219.99,44,634,All Levels,,,E£999.99,219.99,E£
.NET MAUI course with Visual Studio 2022 creating PROJECTS,"Learn how to create apps for iOS, Android, Windows and MacOS with the help of .NET MAUI, C# and XAML, creating PROJECTS",4.4,"Instructor:
Héctor Uriel Pérez",E£199.99,21.5,290,Beginner,,Bestseller,E£999.99,199.99,E£
C# Memory Tricks: Learn How To Master The Garbage Collector,This course teaches you advanced C# memory management tricks that every professional .NET developer must know.,4.6,"Instructor:
Mark Farragher",E£219.99,3.5,28,All Levels,,,E£999.99,219.99,E£
C# Basics for Beginners: Introduction to Programming with C#,Learn C# Fundamentals in 1 Hour and Dive Into the Programming World. C# Programming Basics Explained for Beginners,4.6,"Instructor:
Victor Gorinov",E£199.99,2,24,Beginner,,,E£269.99,199.99,E£
C# Database Driven WinForm Apps (step by step projects),Project-based Learning: how to use C# Windows Forms and Microsoft Access Database to create small database driven apps,4.7,"Instructor:
Pavol Almasi",E£199.99,13.5,153,Beginner,,,E£269.99,199.99,E£
Unity C# Scripting : Complete C# For Unity Game Development,"Learn C# Scripting for Unity Game Development from Basics, Create your own 3D & 2D Games With Unity & C#. (2023 Updated)",4.5,"Instructors:
Raja Biswas, Charger Games","E£1,199.99",27,117,Beginner,,Bestseller,"E£1,599.99","1,199.99",E£
The Complete Guide To Build Rest Api's with Asp.Net and C#,"Build REST Api's With Asp.Net , Entity Framework and C#",4.3,"Instructor:
Asfend Yar Hamid",E£749.99,4.5,64,All Levels,,,E£999.99,749.99,E£
C# / .NET Interview Questions with Answers.,C# / .NET Interview Questions with Answers. Crack you next Csharp interview or .NET Interview with confidence.,4.6,"Instructor:
Shivprasad Koirala",E£199.99,6.5,13,Beginner,,,E£849.99,199.99,E£
Write Asynchronous C# Code With Tasks and PLINQ,A comprehensive course teaching you how to write asynchronous C# code with the Task Parallel Library and PLINQ.,4.2,"Instructor:
Mark Farragher",E£199.99,3,28,All Levels,,,E£679.99,199.99,E£
Complete C# Programming: Beginner to Advanced with C# OOP,"Learn C# with hands-on projects, dive in C# OOP advanced step by step guide to classes, interfaces and C# OOP examples",3.8,"Instructors:
Oak Academy, OAK Academy Team","E£1,199.99",18,144,All Levels,,,"E£1,599.99","1,199.99",E£
Introduction to Concurrency in C# - Async and Paralellism,Learn to develop scalable and fast applications using concurrency,4.6,"Instructor:
Felipe Gavilán",E£629.99,5,77,Beginner,,,E£849.99,629.99,E£
98-361: Software Development Fundamentals (using C#),"Learn C#, Web and Desktop applications, and databases. 98-361 (C# version).",4.3,"Instructors:
Phillip Burton, I Do Data Limited",E£229.99,10.5,135,Beginner,,,E£319.99,229.99,E£
C# Advanced Topics - The Next Logical Step,"Learn advanced topics of the C# language like LINQ, Lambda, Extension Methods, Generics, Delegates, Events and more!",4.5,"Instructor:
Tod Vachev",E£199.99,3,43,Intermediate,,,E£269.99,199.99,E£
RESTful Web API - The Complete Guide (.NET7 API) Part 1,Build RESTful web API (C#) with Authentication and learn how to consume them in a real world application (.NET 7 API),4.6,"Instructor:
Bhrugen Patel",E£219.99,9,127,Intermediate,,,"E£1,199.99",219.99,E£
C# for Beginners - Coding From Scratch,Everything you need to get going with C# and .NET using Visual Studio,4.6,"Instructor:
Pontus Wittenmark",E£749.99,4.5,30,Beginner,,,E£999.99,749.99,E£
The Game Design and AI Master Class Beginner to Expert,"3D game design, 2D game design, AI art, VR/AR/XR, Unity, coding, C#, game development, animation, programming, Photoshop",4.2,"Instructor:
[ School of Game Design ]","E£1,299.99",85,719,All Levels,,Bestseller,"E£1,699.99","1,299.99",E£
"C# OOP - Inheritance, Polymorphism, Interfaces",Time to really grasp what object-orientation is all about,4.6,"Instructor:
Pontus Wittenmark",E£199.99,6.5,16,Beginner,,,E£269.99,199.99,E£
ANGULAR and ASP.NET Core REST API - Real World Application,"Create Full Stack Web Applications with Angular, ASP.NET Core Web API, Entity Framework Core, C# REST API, JWT Token",4.6,"Instructor:
Sameer Saini",E£749.99,21.5,221,All Levels,,,E£999.99,749.99,E£
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,Build Combat for Role Playing Game (RPG) in Unity. Tutorials Cover Code Architecture & Video Game Design.,4.8,"Instructors:
Ben Tristem, Rick Davidson, GameDev.tv Team",E£269.99,27.5,190,Intermediate,,,"E£1,399.99",269.99,E£
Unity Android : Build 8 Mobile Games with Unity & C#,"Learn Android Game Development with Unity , Build 8 Android Games with Unity & C# ( Unity 2023 Updated )",4.9,"Instructor:
Raja Biswas",E£269.99,21.5,110,Beginner,,,"E£1,599.99",269.99,E£
Professional C#: The Best Course on Intermediate C# coding,"Build on your programming skills with Inheritance, Interfaces, Generics, LInQ and much more",4.4,"Instructor:
Chuck McCullough",E£199.99,4.5,53,Intermediate,,,E£269.99,199.99,E£
C# Restful API on Web API .Net Core with MsSQL & EF Core,C# RestFul Web API on .Net Core Web API with using Postman and in Real Project with MsSQL and Entity Framework Core(EF),4.7,"Instructors:
Oak Academy, OAK Academy Team",E£199.99,4,37,All Levels,,,E£269.99,199.99,E£
The C# Master Course for Beginners - Develop & Program in C#,"Learn C# from an industry professional. Learn to make software, even if you're new to Visual Studio and UWP!",4.5,"Instructor:
Grant Klimaytys",E£199.99,6,85,Beginner,,new,E£269.99,199.99,E£
C# Basics for Beginners - Learn C# Fundamentals by Coding,This C# basics course will create an unshakeable solid programming skills and mindset foundation. Learn C# with examples,3.8,"Instructor:
Tod Vachev",E£229.99,13.5,161,Beginner,,,E£319.99,229.99,E£
Advanced C# Programming Concepts for C# Projects/Interviews,"Advanced C# programming concepts/topics tutorials for .NET C# projects/interview questions - Reflection, Multithreading",3.4,"Instructor:
Suresh Kumar Srivastava",E£229.99,5,70,Intermediate,,,E£319.99,229.99,E£
The Complete C# Programming Course,"Master C# and .NET Framework - learn with code challenges, exercises, and real-life examples!",4.6,"Instructors:
Codestars • over 2 million students worldwide!, Tod Vachev",E£229.99,22,131,Beginner,,,E£319.99,229.99,E£
Master the Art of Writing Clean Code in C#,Learn how to write clean and maintainable code in C# as bequeathed by Uncle Bob. Learn how to perform refactoring in C#.,4.3,"Instructor:
Engineer Spock",E£229.99,7,88,All Levels,,,E£319.99,229.99,E£
C# OOP Concepts: Apply C# OOP Concepts On Real C# Projects,"Here is your reference guide for C# OOP classes, interfaces and object-oriented programming with C# , interfaces and C#",4.2,"Instructors:
Oak Academy, OAK Academy Team",E£419.99,13,104,All Levels,,,E£579.99,419.99,E£
Mastering LINQ with C# and .NET,Learn .NET's secret sauce for querying collections and databases,4.4,"Instructor:
Dmitri Nesteruk",E£199.99,3.5,42,Beginner,,Bestseller,E£849.99,199.99,E£
c# design patterns,This course teaches you Design pattern by using C#,4.6,"Instructor:
Shivprasad Koirala",E£629.99,13.5,40,Beginner,,,E£849.99,629.99,E£
Mastering Reactive Extensions with C# and .NET,A complete course on Rx.NET,4.7,"Instructor:
Dmitri Nesteruk",E£199.99,3.5,33,Intermediate,,,E£269.99,199.99,E£
Learning C# .NET - Programming for Beginners.,Learn to Program in C# .NET from an Expert. Over 100 Lessons that allow you to learn C# Programming at your own pace.,4.8,"Instructor:
Infinite Skills",E£219.99,7.5,115,All Levels,,,E£319.99,219.99,E£
Multithreading and Parallel Programming in C#,Overcome multithreading and asynchronous programming in C# problems & improve performance by parallel computing in C#,3.9,"Instructor:
Engineer Spock",E£599.99,7,80,All Levels,,,E£799.99,599.99,E£
Rest Api's in Asp.Net Core and C# 2023 Edition,"Build REST Api's with Asp.Net Core , Entity Framework Core and C#",4.4,"Instructor:
Asfend Yar Hamid",E£999.99,7,123,All Levels,,,"E£1,399.99",999.99,E£
Dependency Injection in C# and .NET with the Autofac Library,An in-depth course on Dependency Injection and Inversion of Control,4.5,"Instructor:
Dmitri Nesteruk",E£199.99,5.5,57,All Levels,,Bestseller,E£999.99,199.99,E£
Visual C# with WinForms Step by Step Projects for Beginners,Learn Visual C# with Windows Forms by doing programming projects for beginners and progress to intermediate level,4.7,"Instructor:
Pavol Almasi",E£199.99,16,208,All Levels,,,E£269.99,199.99,E£
Master C# And SQL By Building Applications,Become a better software developer by learning how to build real world applications using C# and SQL.,4.4,"Instructor:
Avetis Ghukasyan",E£849.99,6,58,Intermediate,,,"E£1,199.99",849.99,E£
Learn C#/C# 7 through Web Pages and Visual Studio 2017,Learn Fundamental C#/C# 7.0,4.7,"Instructor:
T O",E£199.99,19.5,88,Beginner,,,E£269.99,199.99,E£
C# in 6 Hours: C# For Complete Beginners Learn C# by Coding,Master the most popular game development language C# Fundamentals with Visual Studio and master C# in 6 hours | C Sharp,4.5,"Instructor:
Oak Academy",E£199.99,5.5,47,Beginner,,,E£269.99,199.99,E£
MS SQL with C#,"Learn C#, MS SQL Server, Ms SQL Backup & Recovery, how to connect C# to SQL and more with this comprehensive SQL course",4.3,"Instructors:
Oak Academy, OAK Academy Team",E£749.99,25,216,All Levels,,,E£999.99,749.99,E£
C# For Beginners: Learn C# Programming From Scratch,Learn to code with C# : Learn the most popular game development language C# Fundamentals with Visual Studio and examples,4.3,"Instructors:
Oak Academy, OAK Academy Team",E£199.99,3.5,33,Beginner,,,E£269.99,199.99,E£
C# Developers: Learn the Art of Writing Clean Code,Learn the techniques to write better C# code and stand out in technical interviews,4.6,"Instructor:
Mosh Hamedani",E£749.99,3.5,20,All Levels,,,E£999.99,749.99,E£
C# OOP: A Beginner's Guide to Object-Oriented Programming,Master the concepts of OOP in C# and kickstart your career in C# and .NET development,4.4,"Instructor:
Praveenkumar Bouna",E£199.99,2,59,Beginner,,,E£269.99,199.99,E£
Practical C# Programming Practices (70+ Common Projects),Master C# programming with over 70+ best C# programming practices for absolute beginners to excel in the industry,3.6,"Instructors:
Emenwa Global, Zoolord Academy",E£229.99,7.5,76,All Levels,,,E£319.99,229.99,E£
Learn to Create a Metroidvania Game using Unity & C#,Game development made easy. Learn C# using Unity and create your own 2D action game!,4.8,"Instructor:
James Doyle",E£749.99,11.5,79,Beginner,,,E£999.99,749.99,E£
The Ultimate LINQ with C# Masterclass - Basics to Advanced,The only LINQ class you will ever need! Both Query and Method Syntaxes are covered in the course!,4.3,"Instructor:
Tod Vachev",E£229.99,4,46,Beginner,,,E£319.99,229.99,E£
C# - Complete A to Z C# Masterclass™: Hints + Coding Tips,Learn C# like a Professional! Start from the basics and go all the way to creating your own applications and games!,3.9,"Instructor:
Dr. Chris Mall • 35,000+ Students Worldwide",E£199.99,7,66,All Levels,,,E£269.99,199.99,E£
Unity Dialogue & Quests: Intermediate C# Game Coding,Implement a Dialogue Editor and Quest System and integrate it into an RPG project.,4.7,"Instructors:
Rick Davidson, GameDev.tv Team",E£849.99,12.5,68,Intermediate,,,"E£1,199.99",849.99,E£
Learn C# with Windows Forms and a Variety of Projects,Includes a Powerful Database Project!,4.7,"Instructor:
T O",E£519.99,22.5,200,Beginner,,,E£679.99,519.99,E£
Boost Your C# With Behavioural Design Patterns,A complete guide to the final 11 behavioural design patterns from the famous book by the Gang Of Four.,4.6,"Instructor:
Mark Farragher",E£529.99,4,20,All Levels,,,E£719.99,529.99,E£
Basic C# Clearly Explained,A Friendly Invitation To Real C#,4.5,"Instructor:
T O",E£199.99,2.5,31,Beginner,,,E£269.99,199.99,E£
Learn to Program with C# from Scratch | C# Immersive,"Mastering C# 10 with the modern features, know how it works. Become A Professional C# Developer in no time!",4.3,"Instructors:
SDE Arts | Octavo, Ahmed El Mohandes",E£419.99,4,64,All Levels,,,E£579.99,419.99,E£
.NET Programming for Beginners - Windows Forms with C#,Get started with .NET C# Windows Forms (WinForms) Programming in Visual Studio using the C# Language,4.7,"Instructor:
Artemakis Artemiou",E£199.99,5,42,Beginner,,,E£269.99,199.99,E£
Unity C# Mobile Game Development: Make 3 Games From Scratch,Make and publish mobile games & apps for Android Play Store & iOS App Store using Unity and C#,4.6,"Instructors:
Rick Davidson, GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",E£999.99,6.5,50,Beginner,,Bestseller,"E£1,399.99",999.99,E£
Discover Game Development with C# Programming and MonoGame!,Learn game development with C# by utilizing the popular MonoGame framework!,4.6,"Instructor:
Kyle Schaub",E£749.99,6.5,60,All Levels,,Bestseller,E£999.99,749.99,E£
C# Studies | Basic C# Programming with Visual Studio 2019,Take your first step into the world of programming with this beginner course on C#. Become a programmer today!,4.8,"Instructor:
C# Tut",E£199.99,1.5,15,Beginner,,,E£269.99,199.99,E£
Algorithms and Data Structures in C#: Complete Tutorial,Learn data structures and algorithms in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.,4.4,"Instructor:
Engineer Spock",E£529.99,15.5,137,All Levels,,,E£719.99,529.99,E£
Learn C#: Learn to Code C# like a Pro Developer Course,Get Started with C# Learning all the Basic Concepts of .Net and C# Syntax,4.2,"Instructor:
Chuck McCullough",E£199.99,3.5,51,Beginner,,,E£269.99,199.99,E£
Stepping up to CSharp (C# Accelerator),"Take C# coding to the next level with this high quality, in-depth, fast paced, cross platform, accelerator course.",4.6,"Instructor:
Oren Ferrari",E£199.99,3.5,33,Intermediate,,,E£269.99,199.99,E£
Automation framework development with Selenium C# (Advanced),An End-to-End Selenium automation framework development course,4.5,"Instructor:
Karthik KK",E£319.99,12,118,All Levels,,,,319.99,E£
High Performance Coding with .NET Core and C#,Learn how to write high performance and scalable .NET Core and ASP.NET Core applications in C#,4.3,"Instructor:
Gergely Kalapos",E£549.99,6.5,38,Intermediate,,,E£729.99,549.99,E£
Mastering JSON using C#,Mastering JSON using C#,4.0,"Instructor:
Balaji Sridharan",E£199.99,3,24,Intermediate,,,E£269.99,199.99,E£
Learn Unit Testing with NUnit and C#,"Learn unit testing, TDD, mocking and Dependency Injection: techniques that you'll need to build reliable software.",4.5,"Instructor:
Engineer Spock",E£229.99,7.5,94,Beginner,,Bestseller,E£319.99,229.99,E£
Learn To Code By Making a 2D Platformer in Unity & C#,Game development made easy. Learn C# with Unity and create your very own 2D Platformer!,4.6,"Instructor:
James Doyle",E£999.99,15,115,Beginner,,,"E£1,399.99",999.99,E£
Mastering WCF 4.0 From Scratch Using C#,Learn How to build WCF Services using C# Step By Step,4.7,"Instructor:
Kameswara Sarma Uppuluri",E£529.99,7,53,All Levels,,,E£719.99,529.99,E£
C# from the beginning,C# for newbies,4.6,"Instructor:
Igor Evdokimov",E£199.99,3,31,Beginner,,new,E£269.99,199.99,E£
A 16 Hour C# Course With Microsoft Visual Studio 2013,"Quadruple Your Skills: Learn C# , Microsoft Visual Studio 2013, Debugging and SQL Server Basics!",4.5,"Instructor:
T O",E£269.99,16.5,125,All Levels,,,E£349.99,269.99,E£
Advanced Data Structures and Algorithms in C# ( DSA ),Advanced Data Structures and Algorithms in C# Using C# DSA Data Structures Algorithms LeetCode DSA C# Data Structures,4.5,"Instructor:
Deepali Srivastava",E£229.99,7,67,All Levels,,,E£319.99,229.99,E£
Advanced Automation Testing of Modern Apps with C# .NET,"Learn modern ways to automate application with C# .NET using Selenium, XUnit, Dependency Injections, Docker and more !",4.6,"Instructor:
Karthik KK",E£349.99,16,140,All Levels,,,,349.99,E£
Learn Collections in C# and .NET,A Masterclass Course on Collections in C# and .NET,4.7,"Instructor:
Infinite Skills",E£229.99,3,28,All Levels,,,E£319.99,229.99,E£
Complete C# programming Fundamentals With Example Projects,Master fundamentals of C# programming from beginner to advance & build your C# programming skill with sample projects,4.1,"Instructors:
Emenwa Global, Zoolord Academy",E£229.99,12.5,122,All Levels,,,E£319.99,229.99,E£
C# in 3 Hours: C# Programming Tutorial for Beginners,C# in 3 Hours. C#Made Easy. No Previous Experience Required. Ultimate Guide to C#. Master C# Programming.,4.4,"Instructor:
Ajay Warrier",E£199.99,3,34,Beginner,,,E£269.99,199.99,E£
