Course Name,Description,Rate,Instructor,Total Hours,lectures,Level,Price,Number Of Rated Users,Bestseller
AMERICAN SIGN LANGUAGE LEVEL 3,"A whole new look & easy, clear way to follow & learn. Loads of exercises to practice on - Suitable for Hearing & Deaf le",4.1,C. Abi Rached,s2,55,Intermediate,E£199.99,30,new
Business process mapping / modelling - the complete course!,Wonder how would you create your own business model? Join us and learn,3.9,Fadi G. C.,3.5,31,All Levels,E£199.99,56,
How To Become A Naturopathic Doctor,Step-by-step guide to gaining admission and becoming a successful Naturopathic Doctor,4.4,C Habib,s2,10,All Levels,E£199.99,27,
"Xamarin - deliver native apps for iOS, Android and Windows",Write code once - use C# to develop mobile applications from zero to deployment,3.9,Educativo Courses,3.5,25,All Levels,E£199.99,36,
"Intensive Ho'oponopono Workshop + 7,000 students enrolled!",Course developed by the best-selling author of a Ho'oponopono book - Multiple bonuses included!,4.6,Dr Bruno R. PhD C,1.5,23,All Levels,E£199.99,57,
Tools and Strategies to Pay Off Student Loan Debt Quickly,Learn how student loan debt works and how to pay it off fast!,5.0,Cameron C Moore,s1,26,All Levels,E£199.99,10,
Master Facial Recognition (A~Z) in C# using Azure Face API,The ultimate course to learn the key concepts & develop an app. to recognize faces and emotions using Azure Face API,2.4,"Maen Alaraj, PhD",1.5,14,All Levels,E£199.99,5,
Success vs Failure - Attitude matters (increase your focus),"Attitude building, four types of attitude, 5 ways to tackle attitudinal problems, develop positive attitude for success.",4.4,Rajesh C R (Productivity Coach),s1,12,All Levels,E£219.99,16,
Beginner's Course on Becoming a Remote Translator,Learn to work as a professional translator with your bilingual skills.,3.9,Vivien C,1.5,22,Beginner,E£229.99,7,
Back to the Futures: Futures Trading 101,Unlock the Futures Markets,4.1,"Andrew Barracosa, Tom Starke, Qian C. Zhu",s1,19,All Levels,E£199.99,37,
CCIE Security 6 practice test,Test your skills before taking the CCIE Security v6.0 exam,4.6,"dr Jonas Birch, C programming ninja",,,,E£579.99,8,
Blender 3D Architecture Designing Course Beginner to Pro,Learn how to create Stunning 3D Architectural Designs in Blender 2.8 series,4.5,Sixon C Sunny,s6,28,All Levels,E£199.99,43,
Wireless Hacking - Offensive,All you will come to know is about Wireless Hacking and Cracking in SHORT TIME,4.1,Gopikrishna C,s5,50,All Levels,E£229.99,23,
Divisional Charts for Accurate Prediction-Untaught Astrology,The secret roots of Indian Vedic Astrology can be found here.,4.1,Mohan Raj C,2.5,38,All Levels,E£199.99,17,
C++ Programming from A-Z. Learn To Code Using C++,Learn to code using C++ programming. Learn C++ programming from scratch. Start coding in C++ - Start programming in C++,3.8,Joey Anthony - C++ Programming,s4,17,Beginner,E£229.99,717,
Krita for Beginners,Create Easy Cat Illustration Using Krita,4.4,Rena C,1.5,15,Beginner,E£199.99,7,
"Economics, Energy, and Inflation",Understanding the present economic situation,4.5,Reynolds C. Jones,2.5,11,Beginner,E£199.99,9,
Amazon SageMaker & Machine Learning in the Cloud,Applied Machine Learning with a 360-degree view of Amazon SageMaker & AI Applications in AWS,4.8,Gokul C Prabhakar,,,,E£199.99,2,
Clinical Data Management: An overview,Get introduced to the basic principles of clinical data management & learn how to manage clinical data,3.6,Sri C,s2,24,Beginner,E£199.99,92,
2 Paths to Leadership Success: Addition or Subtraction,The Contrarian Path to Success is shaped by leadership's lessons learned from past experienc--NASA Case Study,4.4,Elizabeth C. Pagé,s3,71,All Levels,E£199.99,7,
AMERICAN SIGN LANGUAGE LEVEL 3,"A whole new look & easy, clear way to follow & learn. Loads of exercises to practice on - Suitable for Hearing & Deaf le",4.1,C. Abi Rached,s2,55,Intermediate,E£199.99,30,new
Business process mapping / modelling - the complete course!,Wonder how would you create your own business model? Join us and learn,3.9,Fadi G. C.,3.5,31,All Levels,E£199.99,56,
How To Become A Naturopathic Doctor,Step-by-step guide to gaining admission and becoming a successful Naturopathic Doctor,4.4,C Habib,s2,10,All Levels,E£199.99,27,
"Xamarin - deliver native apps for iOS, Android and Windows",Write code once - use C# to develop mobile applications from zero to deployment,3.9,Educativo Courses,3.5,25,All Levels,E£199.99,36,
Practice Exams Red Hat RHCSA Certified System Administrator,Exams are NOT affiliated with official RHEL8 / Red Hat team and are for your own practice.,4.1,Gavin C,,,,E£199.99,18,
Fundamentals of Business Finance,"A comprehensive course including Business Fundamentals, Financial Statements, Cost Sheet and Behavioral Finance",4.3,Prof. C Arun Kumar,3.5,40,All Levels,E£229.99,29,
Splunk October 2022 Practice Questions - Fundamentals 1&2,Splunk Core and User Certified Practice Tests! (Fun 1 and Fun 2),3.7,Alexis C,,,,E£199.99,18,
Phlebotomy Certification Exam Review,Prepare to pass the phlebotomy certification exam the first time with this course!,4.4,"Dale James ""Jamie"" Bingham PA-C, MPAS, MPH, NREMT-P",s2,17,All Levels,E£199.99,161,
Online peripheral iv course,by Intravenous Queen,4.2,"Crystal Uribe MSN, FNP-C, RN, CEN",5.5,9,All Levels,E£719.99,12,
Construction Management: Construction Claims 101 (2 PDUs),Learn the basics of construction claims and delay analysis. Learn the claims procedure in Fidic contracts (1st and 2nd),3.8,"Sabri C. PMP | 120,000+ Enrollments Worldwide",2.5,18,Beginner,E£519.99,252,
A to Z of Presentation Skills - For all Occasions.,"20 + examples from training sessions. Select topic, Build content, Typography, Colour theory, Slides, Public Speaking.",4.6,Rajesh C R (Productivity Coach),1.5,31,All Levels,E£199.99,20,
Prediction of Human Death by Secret Vedic Astrology Methods,Secret methods that no one has ever said....! (Introductory Course to Ayurdhayam),4.0,Mohan Raj C,s1,10,Intermediate,E£199.99,23,
"Learn ARcore,make your Room interact with Unity 3D physics.","Arcore: AR in (Unity,C#) make augmented reality for android without Spark Ar nor Vuforia",3.7,"Brinis Hamza, Abderrahmen Brinis",s2,11,All Levels,E£229.99,3,
How We Got the Bible,From Ancient Origins to Modern Translations,4.8,Andy C Lewter,s1,17,All Levels,E£199.99,13,
Growing Your Future: Financial Investment Tips for Women,Learn the basics of the stock market and change your financial future.,4.1,C L Edmonds,,22,Beginner,E£229.99,21,
Pontius Pilate,The Man Who Put Jesus to Death (The Enforcer),4.9,Andy C Lewter,s1,6,All Levels,E£199.99,14,
CAPM Certification: Detailed CAPM Math for CAPM Exam_5 PDUs,CAPM Exam Prep: Learn all of the MATH concepts needed to pass the CAPM exam! Worth 5 PDUs!,4.2,"Sabri C. PMP | 120,000+ Enrollments Worldwide",4.5,42,All Levels,E£199.99,76,
Church History: The First Five Hundred Years,From Paul to the Fall of Rome,4.0,Andy C Lewter,s1,6,All Levels,E£199.99,38,
Canadian Immigrant Best Kept Secrets,What every Canadian immigrant ought to know,4.4,Andrea C,s1,20,All Levels,E£199.99,25,
The History of Secret Societies,An Introduction to the Hidden World that has determined much of human history,4.1,Reynolds C. Jones,s3,14,Beginner,E£199.99,43,
Bachata Dancing From Start-To-Star!,Learn to dance Bachata the easy way! by taking our easy to follow step-by-step course.,4.2,"Benjamin C Finnigan, T. Sade Stanley",1.5,30,Beginner,E£199.99,16,
Learn Unity 3D for Absolute Beginners,Learn How to Develop 3D Games from Scratch,4.5,Learn Everything,s10,107,Beginner,Free,"2,663",
Learn to create a 2D Racing car game for FREE PART 1.,Learn how to create a cool 2D top down racing car game with the unity game engine.,4.2,Games 2Play,s2,8,All Levels,FREE,96,
Learn to create a 2D Racing car game for FREE PART 2.,Learn how to create a cool 2D top down racing car game with the unity game engine.,4.7,Games 2Play,s2,10,All Levels,FREE,49,
Web Design for Absolute Beginners: Coding in HTML,Learn how to script with HTML to design web pages in the beginner level!,4.8,Varun C M,s1,11,Beginner,Free,16,New
Introduction to Shaders in Unity3D with Shader Graph,Shader Graph or: How I Learned to Stop Worrying and Create Stunning Visual Effects in Unity3D,4.6,İsmail Çamönü,s2,33,Intermediate,Free,96,
Unity from Zero to Proficiency (Foundations),A step-by-step guide to creating your first game with Unity,4.5,Patrick Felicia,s2,49,Beginner,Free,105,
Unity 2D Beginner Master Class Using C# in Tamil,"Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC in Tamil",4.9,Mohamed Arshad Ismail,s2,11,Beginner,Free,4,
Azure Notification Hub For Busy .Net Developers,Send push notifications to any platform from any back end,4.2,Jaleel Ahmed,1.5,6,Intermediate,Free,24,
Introductory C# for Red Team,Accessing the Windows API and Syscalls,4.6,Dylan Tran,1.5,16,All Levels,Free,11,
Visual Studio Code - for .NET (C#) developers,"VS Code for .NET Developers Course: Build, Debug, Test, and Work with GIT",4.7,Jakub Kozera,s1,5,Beginner,Free,6,
"Programming Fundamentals for Beginner (C#,javascript,php)","Fundamentals of Programming, how to begin coding in any programming language. C#,PHP or javascript",4.6,Mohd Khaleeluddin,s1,5,Beginner,Free,7,
Introduction to SOLID Principles,Introduction to SOLID Principles,4.5,Ziaullah Khan,,9,Intermediate,Free,171,
Unity: 2D Game Development,Make your Dream 2D Sprite Game Inside the Powerful Unity Editor,3.9,Chris Tutorials,s7,50,Beginner,Free,576,
ASP.NET Core Testing Mini Course,With examples in ASP.NET Core.,3.8,Ruben Heeren,s1,6,Beginner,Free,31,
Introduction to Unit Testing in C#,"Create, debug, and improve your unit tests and code",4.4,Best Test Automation,,5,Beginner,Free,17,
Best tools and practices of Xamarin Forms,"Chapters of Xamarin Forms development like MVVM, Prism, Data binding, Dependecy Injection, REST API and Plugins",3.8,Balázs Koncz,s1,21,Intermediate,Free,70,
Yoga Therapy: A Growing Profession in Health and Wellness,"What is Yoga Therapy, Who is a Yoga Therapist, Where Does Yoga Therapy Fit in Health Care?",4.9,"Laura Goellner E-RYT, C-IAYT",1.5,11,Beginner,Free,11,
Angular: Increasing Your Productivity in Visual Studio,Visual Studio Productivity Strategy,3.9,David Donovan,,12,Intermediate,Free,74,
PMP® Certification: PMP® Project Selection Methods - 1 PDU,PMP® Exam Prep: PMP® Project Selection Methods Training for PMI's PMP® Certification Exam. (PMBOK® Guide v6 Compliant),4.7,"Sabri C. PMP | 120,000+ Enrollments Worldwide",s1,15,All Levels,Free,788,
Arabic Language for beginner ! Short n sweet introduction,You want to learn Arabic language basics ? want to improve you CV and to start talking Arabic to others ? There you go,4.6,Fadi G. C.,s2,10,Beginner,Free,772,
Record Level Security in Salesforce with Real time Scenarios,let's understand how the records are shared in salesforce.,4.6,Sandeep C,s2,16,Beginner,Free,56,
Kundalini Yoga 101 : The Yoga Of Awareness,Yoga Alliance Continuing Education Course,4.4,"Laura Goellner E-RYT, C-IAYT",1.5,8,Beginner,Free,161,
Brazil for Beginners,Learn Interesting facts about Brazil and how Brazil emerges on the world stage.,4.8,Marshall C. Eakin,s5,17,All Levels,Free,411,
Learn the Basics of Sketchup for Beginners,"Learn how to do basics of Modelling, Texturing, Grouping, Making Scenes, Making Presentation Layout, Giving Dimensions",4.3,Sixon C Sunny,1.5,14,Beginner,Free,191,
Foundation Skills for a Successful Meditation Practice,"Learn how to find comfort in stillness, handle distraction and keep the mind focused to reap the benefits of meditation",4.9,"Laura Goellner E-RYT, C-IAYT",s2,17,Beginner,Free,266,
Fundamentals of Critical Thinking & Its Applications,"For Personal & Professional Life to Avoid Assumptions, Think Deep & Arrive at an Accurate Decision to Save Time & Money.",4.4,Rajesh C R (Productivity Coach),,9,All Levels,Free,38,
Learn Blender Basics for Beginners,Learn the Basics of Blender 2.8 series and use to create 3d scenes,4.5,Sixon C Sunny,s2,17,Beginner,Free,138,
Create Business Applications with AppSheet,A Basic Guide to Build Data Driven Mobile Apps & Web-Apps in Minutes,4.5,"Santiago Uribe Montoya, Peter Dykstra, Stefan Quartemont, Eddie Wang, Jennifer C",s1,36,Beginner,Free,"4,845",
"Master MongoDB, the NOSQL leader with Clarity and Confidence",Learn MongoDB - Updated Every Week 100+interview Questions 100+Quizzes 60+Assignments mongobooster java C# nodejs php,4.4,Tech Tools Academy,s12,71,All Levels,Free,"1,115",
Learn how to draw a cute sheep,Step-by-step animal drawing beginner course,4.9,Monica C,,8,Beginner,Free,5,
Innovation coaching focusing on organizational innovation,"Lessons from Silicon Valley on how to operate like a Silicon Valley startup, no matter how big an organization.",4.3,Paul C. Wilson,s2,29,Intermediate,Free,48,
A Glimpse into the technology agnostic tool - Selenium,"Selenium with Java, Ruby, Python, CSharp and JavaScript",4.3,Pallavi Sharma,s1,5,Beginner,Free,15,
Introduction to Uno Platform,"Build Single-Source WebAssembly, Mobile and Desktop Apps with C#",4.1,Christian Findlay,1.5,25,Intermediate,Free,155,
Snapchat Marketing 2017: Business & Influencer Training,"Snap CEO: Understand Snapchat Psychology, Build Deep Relationships, Grow A Massive Audience, & Covert New Customers",4.6,Andy C. Ash,,17,All Levels,Free,269,New
Seleniumw with C#- A Demo Lab,Lab session on selenium using csharp,4.3,Agile Testing Alliance Org,s1,5,Intermediate,Free,38,
Fine tuning life - How to lead a successful & balanced life.,"Life assessment, Work life balance, Five zones of life assessment, Understanding the fundamental principle of each zone",4.8,Rajesh C R (Productivity Coach),,12,Beginner,Free,30,
Create your own art: Watercolor abstract paintings,Create amazing abstract paitings from scratch,4.3,Monica C,,8,Beginner,Free,63,
Test Data Generation for Selenium and Appium,Third Party API tools to generate Random Unique Test Data in Java and C#,4.8,Krishna Sakinala,s1,22,All Levels,Free,392,
Introduction to Xamarin.Android,Learn the foundations of building Android app in C# with Xamarin,4.3,Xamarin University,s2,21,Beginner,Free,306,
Introduction to Xamarin.Forms,Learn the foundations of building cross-platform apps in C# with Xamarin.Forms,4.2,Xamarin University,s3,26,Beginner,Free,551,
Web development road map series,the path to be a web developer and the most common techniques (JavaScript - PHP- C# - Python ),4.0,Ahmed Ahmed Hassan,,6,Beginner,Free,106,
The Complete Trading Course (Beginners To Trader),How to make huge profit with low amount of investment,3.4,Ebenesh C,s2,25,All Levels,Free,55,
"1st of 8 Steps to College Admissions, Free Course 2022",Tasks that Optimize Higher Education for Students,3.9,"Matthew C. Andrews, Ph.D., Justin Wang",1.5,7,All Levels,Free,29,
Make Games without Code? Master Visual Scripting in Unity!,Learn to make awesome games without Coding!,4.7,Code Monkey,21.5,151,,,"1,961",Bestseller
Deep Dive - ASP.NET WebForms,36 Hours Course covering all concepts of ASP.NET WebForms in-depth by Micorosoft Certified Trainer,4.6,Sandeep Soni,s36,70,,,587,
Make an E-Commerce Website with Blazor WebAssembly in .NET 6,"Learn how to build an E-Commerce Website with Blazor WebAssembly, a Web API, Entity Framework Core & SQL Server Express.",4.5,Patrick God,17.5,198,,,"1,546",
Master Data Structures using C#.Net,You can learn all the data structures concepts using C# in detailed,5.0,Visweswararao Penti,6.5,53,,,1,
ASP.NET Core Identity - Authentication & Authorization [MVC],Learn Authentication & Authorization in ASP.NET Core (.NET 8) as we explore Identity Library with MVC and Razor Library,4.8,"DotNet Mastery, Bhrugen Patel",13.5,204,,,737,
ASP.NET CORE MVC | Build a Complete eCommerce App,Learn to build fast and secure eCommerce application with ASP.NET MVC and Entity Framework Core,4.5,Ervis Trupja,11.5,108,,,"1,145",
The Ultimate Guide to Video Game Optimisation,Learn to Squeeze Every Frame of Performance out of Your Unity Game Development Projects,4.8,"Penny de Byl, Penny @Holistic3D.com",s9,55,,,381,
VB.Net for Beginners Step by Step Projects and Exercises,Learn Visual Basic .Net and Windows Forms (WinForms) by doing programming projects for beginners,4.5,Pavol Almasi,15.5,85,,,593,Bestseller
Getting Started .NET Core Microservices RabbitMQ,Build .NET Core Microservices using RabbitMQ Messaging,4.5,Manish Narayan,4.5,77,,,"2,246",
Introduction to Entity Framework Core 6,Learn Entity Framework Core from scratch,4.5,Felipe Gavilán,s13,170,,,339,
Create an RPG Game in Unity,Advanced game design,4.6,Pete Jepson,s41,242,,,404,
Learn To Create An Online Multiplayer Game In Unity,Game development made easy. Learn networking andC# using Unity and create your online multiplayer FPS experience!,4.6,James Doyle,s13,96,,,724,
Mathematics for Computer Games Development using Unity,"A Beginner's Guide to Essential Mathematics, Data Structures and Algorithms used in Game Programming applied in Unity",4.8,"Penny de Byl, Penny @Holistic3D.com",s15,70,,,"1,599",
All About Gaming Industry Careers & Game Design Fundamentals,2 courses in 1. Explore Career Paths in the Gaming Industry and the Fundamentals of Game Design,4.6,VICONIC Development,s5,41,,,650,
gRPC [C#] Master Class: Build Modern API & Microservices,"Better than REST API! Build a fast scalable HTTP/2 API for a .NET microservice with gRPC, Protocol Buffers (protobuf)",4.4,Clément Jean,s4,68,,,915,
Building Applications with React 17 and ASP.NET Core 6,"Use React, Hooks, ASP.NET Core, Entity Framework Core, Bootstrap, Leaflet and JWT to create a complete web application",4.5,Felipe Gavilán,19.5,183,,,439,
Visual Effects for Games in Unity - Beginner To Intermediate,By the end of this course you will have started your own portfolio as a Triple-A Visual Effects artist for Games.,4.6,Gabriel Aguiar,s6,59,,,"3,083",Bestseller
Complete Blazor (WASM & Server) and ASP.NET API Development,Learn to build a RESTful API and consume it in a Blazor (WebAssembly and Server) Client Application and deploy to Azure,4.5,Trevoir Williams,s13,74,,,"1,091",
Deep Dive Into Windows Communication Foundation (WCF),WCF incl. Web Services and Remoting,4.6,Sandeep Soni,s12,31,,,56,
Unity Environment Design,Professional environment design in Unity,4.7,Pete Jepson,7.5,44,,,381,
Unity 3rd Person Combat & Traversal,Make a complete 3rd Person Combat System for an RPG in Unity!,4.5,"GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",s10,65,,,700,
Docker for .NET Apps - on Linux and Windows,"Learn how to build, run and design .NET apps using Docker - with Windows for .NET Framework apps and Linux for .NET Core",4.3,Elton Stoneman,8.5,38,,,359,
Master ASP.NET MVC Core 3.1,Master ASP.NET MVC Core with hands on experience on real world website. A step by step course to learn ASP.NET Core MVC,4.6,Bhrugen Patel,s17,236,,,"2,834",
How To Get A Job In The Video Game Industry,"Create a Winning Resume, Portfolio, LinkedIn Profile & Job Application. Dominate Interviews & Networking.",4.9,"Rick Davidson, GameDev.tv Team",6.5,48,,,"1,582",Bestseller
ASP.NET Core Identity - User Security Essentials,We take a deep dive into Identity for ASP.NET Core (.NET 5 and up) and authentication and authorization best practices,4.6,Trevoir Williams,s5,44,,,112,
"Secure .Net Microservices with IdentityServer4 OAuth2,OpenID","Securing .Net Microservices with IdentityServer4 using OAuth2, OpenID Connect and Ocelot API Gateway",4.4,Mehmet Ozkaya,5.5,76,,,887,
Build Microservices with .NET & Amazon Web Services,"Event-Driven Microservices with Dotnet and AWS, Lambda, Docker, Kafka, RabbitMQ, etc.",4.4,Aref K.,9.5,99,,,"1,178",
The Psychology of Games - Secrets of Good Game Design,Programming alone is not enough to fascinate the players of your video game - Learn the methods!,4.2,Pixelcademy .,s2,22,,,797,
ASP.NET Core 5.0 MVC The Beginners Guide To Becoming A Pro,Learn ASP.NET Core 5 with MVC and Entity Framework Core- Build a Real World Appointment Application using .NET 5 & Azure,4.2,"Denis Panjuta, Tutorials.eu by Denis Panjuta, DotNet Mastery",9.5,119,,,"1,623",
Queueable Apex Unleashed: Salesforce Development,Solving Challenges with Salesforce Queueable Apex Mastery,5.0,Sandeep C,w2,15,,,1,
Make a fighting game in Unity,Make a professional looking two player fighting game in Unity,4.5,Pete Jepson,23.5,157,,,307,
REST WCF Service for Web Applications in ASP.NET Hands-On,Build a modern REST/restful WCF Service for web applications with ASP.NET & jQuery - First success within 10 minutes!,4.4,Patrick God,s2,24,,,695,
ASP.NET Core MVC - Up and Running Part 1 (.NET 5),Learn ASP.NET Core 5 with MVC and Entity Framework Core as we build real world Paving Company project with .NET 5,4.1,"DotNet Mastery, Bhrugen Patel",s7,100,,,998,
Finish It! Motivation & Processes For Video Game Development,Tools & Techniques For Staying Motivated & Productive When Creating Video Games Or Apps.,4.8,"Rick Davidson, GameDev.tv Team",7.5,69,,,"1,246",
Hands-on .NET Web API Documentation with Swagger/OpenAPI,"Documenting ASP.NET Core Web API with Swashbuckle, NSwag, Swagger, and OpenAPI through a step-by-step approach.",4.5,Praveenkumar Bouna,3.5,53,,,15,
Make a driving game in unity,Professional game design,4.3,Pete Jepson,27.5,155,,,171,
Unity DOTS Fundamentals - Making a full game with ECS,Learn how to make a full game with Unity ECS and DOTS Physics,4.9,Oliver Carson,6.5,20,,,315,
Master Procedural Maze & Dungeon Generation,Enhance your game environment creation skills by learning to automate dungeon and maze generation with Unity & Blender.,4.8,"Penny de Byl, Michael Bridges, Penny @Holistic3D.com",s21,114,,,353,
Unity Level Design : Abandoned House,Make a scene inspired by 'The Last of Us',4.8,Pete Jepson,16.5,70,,,237,
VB.Net Projects and Exercises for Intermediate Programmers,Push your programming skills to Intermediate level and master Visual Basic and WinForms.,4.5,Pavol Almasi,s18,296,,,158,
Unity 3rd Person Combat & Traversal,Make a complete 3rd Person Combat System for an RPG in Unity!,4.5,"GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",s10,65,Intermediate,E£749.99,700,
Docker for .NET Apps - on Linux and Windows,"Learn how to build, run and design .NET apps using Docker - with Windows for .NET Framework apps and Linux for .NET Core",4.3,Elton Stoneman,8.5,38,Beginner,E£629.99,359,
Master ASP.NET MVC Core 3.1,Master ASP.NET MVC Core with hands on experience on real world website. A step by step course to learn ASP.NET Core MVC,4.6,Bhrugen Patel,s17,236,All Levels,E£749.99,"2,834",
How To Get A Job In The Video Game Industry,"Create a Winning Resume, Portfolio, LinkedIn Profile & Job Application. Dominate Interviews & Networking.",4.9,"Rick Davidson, GameDev.tv Team",6.5,48,All Levels,E£749.99,"1,582",Bestseller
ASP.NET Core Identity - User Security Essentials,We take a deep dive into Identity for ASP.NET Core (.NET 5 and up) and authentication and authorization best practices,4.6,Trevoir Williams,s5,44,All Levels,E£199.99,112,
"Secure .Net Microservices with IdentityServer4 OAuth2,OpenID","Securing .Net Microservices with IdentityServer4 using OAuth2, OpenID Connect and Ocelot API Gateway",4.4,Mehmet Ozkaya,5.5,76,Intermediate,E£199.99,887,
Build Microservices with .NET & Amazon Web Services,"Event-Driven Microservices with Dotnet and AWS, Lambda, Docker, Kafka, RabbitMQ, etc.",4.4,Aref K.,9.5,99,All Levels,E£749.99,"1,178",
The Psychology of Games - Secrets of Good Game Design,Programming alone is not enough to fascinate the players of your video game - Learn the methods!,4.2,Pixelcademy .,s2,22,Beginner,E£199.99,797,
ASP.NET Core 5.0 MVC The Beginners Guide To Becoming A Pro,Learn ASP.NET Core 5 with MVC and Entity Framework Core- Build a Real World Appointment Application using .NET 5 & Azure,4.2,"Denis Panjuta, Tutorials.eu by Denis Panjuta, DotNet Mastery",9.5,119,Intermediate,E£319.99,"1,623",
Queueable Apex Unleashed: Salesforce Development,Solving Challenges with Salesforce Queueable Apex Mastery,5.0,Sandeep C,w2,15,All Levels,E£629.99,1,
Make a fighting game in Unity,Make a professional looking two player fighting game in Unity,4.5,Pete Jepson,23.5,157,Beginner,E£199.99,307,
REST WCF Service for Web Applications in ASP.NET Hands-On,Build a modern REST/restful WCF Service for web applications with ASP.NET & jQuery - First success within 10 minutes!,4.4,Patrick God,s2,24,All Levels,E£199.99,695,
ASP.NET Core MVC - Up and Running Part 1 (.NET 5),Learn ASP.NET Core 5 with MVC and Entity Framework Core as we build real world Paving Company project with .NET 5,4.1,"DotNet Mastery, Bhrugen Patel",s7,100,Beginner,E£199.99,998,
Finish It! Motivation & Processes For Video Game Development,Tools & Techniques For Staying Motivated & Productive When Creating Video Games Or Apps.,4.8,"Rick Davidson, GameDev.tv Team",7.5,69,All Levels,E£199.99,"1,246",
Hands-on .NET Web API Documentation with Swagger/OpenAPI,"Documenting ASP.NET Core Web API with Swashbuckle, NSwag, Swagger, and OpenAPI through a step-by-step approach.",4.5,Praveenkumar Bouna,3.5,53,Intermediate,E£199.99,15,
Make a driving game in unity,Professional game design,4.3,Pete Jepson,27.5,155,All Levels,E£199.99,171,
Unity DOTS Fundamentals - Making a full game with ECS,Learn how to make a full game with Unity ECS and DOTS Physics,4.9,Oliver Carson,6.5,20,Intermediate,E£229.99,315,
Master Procedural Maze & Dungeon Generation,Enhance your game environment creation skills by learning to automate dungeon and maze generation with Unity & Blender.,4.8,"Penny de Byl, Michael Bridges, Penny @Holistic3D.com",s21,114,Intermediate,E£199.99,353,
Unity Level Design : Abandoned House,Make a scene inspired by 'The Last of Us',4.8,Pete Jepson,16.5,70,Beginner,E£749.99,237,
VB.Net Projects and Exercises for Intermediate Programmers,Push your programming skills to Intermediate level and master Visual Basic and WinForms.,4.5,Pavol Almasi,s18,296,Intermediate,E£199.99,158,
The Beginner's Guide to Animation in Unity (v5 to v2020+),"Your ultimate guide to Unity's Mecanim covering keyframes, curves, inverse kinematics, strafe sets, blending and more.",4.8,"Penny de Byl, Penny @Holistic3D.com",11.5,64,Beginner,E£629.99,"1,954",
Learn Unity's Entity Component System to Optimise Your Games,Update your Unity programming skills to take advantage of the new Data Orientated Technology Stack and Burst Compiler,4.6,"Penny de Byl, Penny @Holistic3D.com",s13,76,Intermediate,E£519.99,623,new
The Complete Unity Game Development Course,Create Your Own First Person Shooter Zombie Game,4.5,"Codestars • over 2 million students worldwide!, Penny de Byl, Penny @Holistic3D.com",s20,101,Beginner,E£619.99,796,
